Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
ScoutDrone,items,mod,New,A Drone to help you as companion to scout out Zombies at night,,,,,
ScoutDrone_desc,items,mod,New,A helpful travel companion during these dark times. It will scout the area scouting for zombies and help you find them in the dark,,,,,
MedicalDrone,items,mod,New,A Drone to help you as companion to heal your injuries,,,,,
MedicalDrone_desc,items,mod,New,A helpful travel companion during these dark times. It will scout the area for you and heal your injuries,,,,,
BattleDrone,items,mod,New,A Drone to help you as companion to clear out Zombies at night,,,,,
BattleDrone_desc,items,mod,New,A helpful travel companion during these dark times. It will scout the area scouting for zombies and help you kill them in the dark,,,,,
PoliceDrone,items,mod,New,A Drone to help you as companion to clear out Zombies at night,,,,,
PoliceDrone_desc,items,mod,New,A helpful travel companion during these dark times. It will scout the area scouting for zombies and help you kill them in the dark,,,,,
DroneSchematic,items,mod,New,Schematics on how to create a Drone,,,,,
DroneSchematic_desc,items,mod,New,Schematics on how to create a Drone,,,,,
PoliceDroneSchematic,items,mod,New,Schematics on how to create a Drone,,,,,
PoliceDrone_descSchematic_desc,items,mod,New,Schematics on how to create a Drone,,,,,
MedicalDroneSchematic,items,mod,New,Schematics on how to create a Medical Drone,,,,,
MedicalDroneSchematic_desc,items,mod,New,Schematics on how to create a Medical Drone,,,,,
BattleDroneSchematic,items,mod,New,Schematics on how to create a Battle Drone,,,,,
BattleDroneSchematic_desc,items,mod,New,Schematics on how to create a Battle Drone,,,,,
quest_DronesDesc,items,quest,New,Build your own Drones,,,,,
quest_ScoutDroneDesc,items,quest,New,Build your own Scout Drone,,,,,
quest_BattleDronesDesc,items,quest,New,Build your own Battle Drone,,,,,
quest_MedicalDronesDesc,items,quest,New,Build your own Medical Drone,,,,,
quest_PoliceDroneDesc,items,quest,New,Build your own Police Drone,,,,,
